##### Points inside Mask #####
0: (169.16714477539062, 132.41006469726562, 69.61857604980469)
1: (202.48733520507812, 126.08797454833984, 72.51835632324219)
2: (193.9864044189453, 139.56776428222656, 70.39860534667969)
3: (181.75912475585938, 144.23960876464844, 59.604583740234375)
4: (166.96888732910156, 150.95944213867188, 62.96535110473633)
5: (187.6699676513672, 137.3038787841797, 77.98304748535156)
6: (180.10385131835938, 143.8254852294922, 69.98900604248047)
7: (191.76316833496094, 128.21957397460938, 80.8935546875)
8: (184.79136657714844, 139.39889526367188, 72.70024871826172)
9: (190.25730895996094, 132.5782012939453, 78.84180450439453)
10: (193.7136993408203, 145.92779541015625, 83.02860260009766)
11: (169.93359375, 143.05337524414062, 80.58731842041016)
12: (183.6947784423828, 133.42169189453125, 70.36524963378906)
13: (180.71070861816406, 141.52793884277344, 66.53590393066406)
14: (189.98370361328125, 128.0460662841797, 80.67234802246094)
15: (181.81321716308594, 140.5396728515625, 74.08016967773438)
16: (202.17184448242188, 127.5300521850586, 77.19092559814453)
17: (169.87945556640625, 144.1352081298828, 77.62854766845703)
18: (182.49659729003906, 135.5980987548828, 70.1782455444336)
19: (188.63491821289062, 125.30674743652344, 75.45386505126953)
20: (197.5258026123047, 110.59013366699219, 82.68079376220703)
21: (173.7667694091797, 146.32159423828125, 71.891357421875)
22: (199.66307067871094, 140.9593505859375, 81.75439453125)
23: (161.47772216796875, 137.64569091796875, 74.29944610595703)
24: (193.60531616210938, 142.84475708007812, 81.87377166748047)
25: (187.0955352783203, 125.88799285888672, 75.67948913574219)
26: (184.9338836669922, 139.41806030273438, 76.8256607055664)
27: (193.9434051513672, 133.30740356445312, 78.20243835449219)
28: (185.9675750732422, 125.74520874023438, 76.572265625)
29: (175.0449981689453, 143.48199462890625, 70.68397521972656)
30: (191.78912353515625, 136.25689697265625, 79.6135025024414)
31: (189.31430053710938, 146.3282470703125, 81.3717269897461)
32: (188.88766479492188, 121.34803009033203, 78.8343505859375)
33: (193.8340606689453, 130.39031982421875, 80.46022033691406)
34: (194.09432983398438, 135.00601196289062, 88.49394226074219)
35: (164.5655059814453, 138.94859313964844, 77.75981140136719)
36: (190.03045654296875, 132.40525817871094, 82.02576446533203)
37: (194.34571838378906, 130.39512634277344, 80.59662628173828)
38: (176.48130798339844, 132.5408172607422, 72.60073852539062)
39: (161.56983947753906, 136.63575744628906, 66.16846466064453)
40: (187.82286071777344, 133.09744262695312, 82.96634674072266)
41: (191.29574584960938, 135.38192749023438, 79.5369644165039)
42: (161.18190002441406, 139.8321990966797, 65.53875732421875)
43: (180.84194946289062, 129.5365753173828, 79.79454803466797)
44: (184.8470001220703, 133.0192413330078, 83.16043853759766)
45: (192.4347381591797, 134.3902130126953, 80.2604751586914)
46: (167.95587158203125, 139.18699645996094, 71.84007263183594)
47: (167.45855712890625, 139.8539581298828, 69.96158599853516)
48: (182.0482177734375, 139.10838317871094, 87.83134460449219)
49: (182.95457458496094, 140.7102813720703, 87.98902130126953)
50: (193.26571655273438, 144.5720672607422, 85.67705535888672)
##### Points outside Mask #####
0: (148.80450439453125, 141.69161987304688, 66.64213562011719)
1: (132.66554260253906, 146.8546905517578, 73.93468475341797)
2: (91.14938354492188, 152.49278259277344, 73.52915954589844)
3: (106.6415023803711, 159.40245056152344, 53.93578338623047)
4: (109.35588836669922, 143.1392059326172, 57.99093246459961)
5: (98.6794662475586, 148.2266845703125, 92.90601348876953)
6: (132.5641326904297, 145.79806518554688, 50.163536071777344)
